trade_date,open,high,low,close,pct_chg,vol,amount,adj_factor,open_qfq,close_qfq,high_qfq,low_qfq,open_hfq,close_hfq,high_hfq,low_hfq
20251204,379.19,383.60,375.15,383.35,1.93,191658,7299943,1.919400,373.34,377.43,377.68,369.36,380.56,384.73,384.98,376.50
20251205,387.20,389.31,382.00,389.09,1.50,232916,9004581,1.919400,381.22,383.08,383.30,376.10,388.60,390.49,390.71,383.38
20251208,390.43,395.38,385.50,392.50,0.88,216598,8476699,1.919400,384.40,386.44,389.28,379.55,391.84,393.92,396.81,386.89
20251209,391.50,392.26,386.00,387.59,-1.25,186918,7255076,1.919400,385.46,381.61,386.20,380.04,392.91,388.99,393.68,387.39
20251210,385.05,388.00,377.26,382.38,-1.34,194334,7399361,1.919400,379.10,376.48,382.01,371.44,386.44,383.76,389.40,378.62
20251211,384.90,398.86,383.38,388.99,1.73,282154,11089032,1.919400,378.96,382.98,392.70,377.46,386.29,390.39,400.30,384.76
20251212,392.00,393.39,385.50,391.80,0.72,240020,9355491,1.919400,385.95,385.75,387.32,379.55,393.41,393.21,394.81,386.89
20251215,391.50,394.97,385.21,385.50,-1.61,182750,7099251,1.919400,385.46,379.55,388.87,379.26,392.91,386.89,396.39,386.60
20251216,386.00,389.08,378.03,378.41,-1.84,191217,7292055,1.919400,380.04,372.57,383.07,372.19,387.39,379.78,390.48,379.39
20251217,376.45,384.50,375.06,383.42,1.32,222574,8453303,1.919400,370.64,377.50,378.56,369.27,377.81,384.80,385.89,376.41
20251218,379.57,380.95,370.01,372.00,-2.98,296393,11079385,1.919400,373.71,366.26,375.07,364.30,380.94,373.34,382.32,371.34
20251219,374.08,377.68,370.80,374.00,0.54,175599,6572808,1.919400,368.30,368.23,371.85,365.07,375.43,375.35,379.04,372.14
20251222,376.00,377.99,368.10,371.84,-0.58,254935,9489774,1.919400,370.19,366.10,372.15,362.42,377.36,373.18,379.35,369.43
20251223,372.00,380.50,371.60,378.10,1.68,236041,8879316,1.919400,366.26,372.26,374.63,365.86,373.34,379.46,381.87,372.94
20251224,378.08,378.08,372.00,375.60,-0.66,210884,7902858,1.919400,372.24,369.80,372.24,366.26,379.44,376.96,379.44,373.34
